GM,Tablero,Zona,Relay,DescripcionCircuito,CircuitLabel_Px,Schedule,CmdWritable,SchedLink_in10,JACE_driven,JACE_write_prio,BACnet_device,BACnet_objectId
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,1,AL3-1,AL3-1,R1/Schedule1,SchdlGM01 R1,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,2,AL3-2,AL3-2,R2/Schedule2,SchdlGM01 R2,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,3,AL3-3,AL3-3,R3/Schedule3,SchdlGM01 R3,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,4,AL3-4,AL3-4,R4/Schedule4,SchdlGM01 R4,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,5,AL3-5,AL3-5,R5/Schedule5,SchdlGM01 R5,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,6,AL3-6,AL3-6,R6/Schedule6,SchdlGM01 R6,yes,yes,in16,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,7,AL3-7,AL3-7,R7/Schedule7,SchdlGM01 R7,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,8,AL3-8,AL3-8,R8/Schedule8,SchdlGM01 R8,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,9,AL3-9,AL3-9,R9/Schedule9,SchdlGM01 R9,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,10,AL3-10,AL3-10,R10/Schedule10,SchdlGM01 R10,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,11,,,R11/Schedule11,SchdlGM01 R11,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,12,,,R12/Schedule12,SchdlGM01 R12,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,13,,,R13/Schedule13,SchdlGM01 R13,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,14,AL3-11,AL3-11,R14/Schedule14,SchdlGM01 R14,yes,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,17,,,,,?,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,18,,,,,?,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,19,,,,,?,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,20,,,,,?,?,,GM01ilum,
GM01,AL3,Sótano 2 / TABLERO AL-3 / Iluminación Sot 2,21,,,,,?,?,,GM01ilum,
GM02,TAB AL-6,Sótano 1,1,Sótano1 N1 a N11,,R1/Schedule1,HorR1,yes,yes,in10,GM02ilum,
GM02,TAB AL-6,Sótano 1,2,Sótano 1 cinépolis,,R2/Schedule2,HorR2,yes,yes,in10,GM02ilum,
GM02,TAB AL-6,Sótano 1,3,Sotano 1 C2 a C6,,R3/Schedule3,HorR3,yes,yes,in10,GM02ilum,
GM02,TAB AL-6,Sótano 1,4,Sotano 1 Q5 a Q12,,R4/Schedule4,HorR4,yes,yes,in10,GM02ilum,
GM02,TAB AL-6,Sótano 1,5,Sotano 1 N1 y E1aE6-bodegas,,R5/Schedule5,HorR5,yes,yes,in10,GM02ilum,
GM02,TAB AL-6,Sótano 1,6,Sotano 1 F2 a F5,,R6/Schedule6,HorR6,yes,yes,in10,GM02ilum,
